,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue ID
0,Ahuntsic-Cartierville,45.54861990938927,-73.67237395413773,Tango Social Club,45.537763,-73.626113,Arts & Entertainment,4e483352483b03d090f7d98d
1,Ahuntsic-Cartierville,45.54861990938927,-73.67237395413773,Maison des arts de Laval,45.55824185808476,-73.7162893824686,Concert Hall,4adb6372f964a520d42621e3
2,Ahuntsic-Cartierville,45.54861990938927,-73.67237395413773,Salle André-Mathieu,45.55971113483948,-73.71933482931077,Concert Hall,4adb63c3f964a520d92621e3
3,Ahuntsic-Cartierville,45.54861990938927,-73.67237395413773,Eastern Bloc,45.53437157275363,-73.6200077329674,Art Gallery,4ba4402bf964a520129038e3
4,Ahuntsic-Cartierville,45.54861990938927,-73.67237395413773,Studio Danse Montréal,45.5344015,-73.6196031,Dance Studio,4b7c9047f964a520419b2fe3
5,Ahuntsic-Cartierville,45.54861990938927,-73.67237395413773,Bar Le Ritz P.D.B.,45.53260691352385,-73.62016668705844,Music Venue,4b4bf448f964a52010ac26e3
6,Ahuntsic-Cartierville,45.54861990938927,-73.67237395413773,Méga-Plex Guzzo Marché Central 18,45.53229682560178,-73.64856719970703,Movie Theater,4af47ca2f964a52009f321e3
7,Ahuntsic-Cartierville,45.54861990938927,-73.67237395413773,Méga-Plex Guzzo Pont-Viau 16,45.57767288623369,-73.6974048614502,Movie Theater,4b0c26f4f964a520f33723e3
8,Ahuntsic-Cartierville,45.54861990938927,-73.67237395413773,LFP Studio,45.541013847933826,-73.64707878020029,Art Gallery,4f380b40e4b0d9574da6f58a
9,Ahuntsic-Cartierville,45.54861990938927,-73.67237395413773,Marsonic,45.535762189695504,-73.64640429295494,Music Venue,4d4b57ad9a8af04d9f560caf
10,Ahuntsic-Cartierville,45.54861990938927,-73.67237395413773,École Enkdanse,45.575375,-73.683476,Dance Studio,4de954c37d8b02ee9f2d4760
11,Ahuntsic-Cartierville,45.54861990938927,-73.67237395413773,Bougearoo,45.5376998,-73.62621409999997,Country Dance Club,59b0c5b092e7a90bdd5d2228
12,Ahuntsic-Cartierville,45.54861990938927,-73.67237395413773,e.d.Films,45.5398420077887,-73.6219596862793,Planetarium,540dbba0498e05abd313ef90
13,Ahuntsic-Cartierville,45.54861990938927,-73.67237395413773,Urban-Element Dance Center,45.54185939059183,-73.61547060254495,Dance Studio,4cdac5eccea2224b0b95814c
14,Anjou,45.60526444651857,-73.55633570855555,Action 500 Karting,45.56686426264465,-73.53893516753826,Go Kart Track,4bc12eb02a89ef3b7c03f288
15,Anjou,45.60526444651857,-73.55633570855555,Méga-Plex Guzzo Lacordaire 16,45.60020431537708,-73.61019659142478,Movie Theater,4ad4c06ef964a520fffa20e3
16,Anjou,45.60526444651857,-73.55633570855555,Ecole de ballet anjou,45.60408,-73.550211,Dance Studio,4b958f8ef964a52086a934e3
17,Anjou,45.60526444651857,-73.55633570855555,CinéStarz Langelier,45.591716408740254,-73.56938190310593,Movie Theater,52027e5b498ed26add4c703b
18,Anjou,45.60526444651857,-73.55633570855555,Cinéma Guzzo Langelier 6,45.59171614692632,-73.56968693035013,Movie Theater,4ad4c06ef964a52001fb20e3
19,Anjou,45.60526444651857,-73.55633570855555,L'Academie De Danse De Montreal,45.59642672538757,-73.585065,Dance Studio,4cd3501472a1a1cd1ea26451
20,Anjou,45.60526444651857,-73.55633570855555,Studios Piccolo,45.589041,-73.516908,Music Venue,4cd889e87d454688ea2beced
21,Côte-des-Neiges–Notre-Dame-de-Grâce,45.48492428563553,-73.6299654448867,Segal Centre for Performing Arts,45.48879747240225,-73.63578315825673,Art Gallery,4ad4c06cf964a5200bfa20e3
22,Côte-des-Neiges–Notre-Dame-de-Grâce,45.48492428563553,-73.6299654448867,Kart-o-mania,45.4994514,-73.6575261,Go Kart Track,4c1589307f7f2d7fd5b7e268
23,Côte-des-Neiges–Notre-Dame-de-Grâce,45.48492428563553,-73.6299654448867,Musée des beaux-arts de Montréal (MBAM),45.498436,-73.579715,Art Museum,4e356969b61cddd1cd3cbba3
24,Côte-des-Neiges–Notre-Dame-de-Grâce,45.48492428563553,-73.6299654448867,Centre Canadien d'Architecture / Canadian Centre for Architecture (CCA),45.49098260835213,-73.57892689562728,Museum,4ad4c06cf964a520f7f920e3
25,Côte-des-Neiges–Notre-Dame-de-Grâce,45.48492428563553,-73.6299654448867,Théâtre Paradoxe,45.458900502040564,-73.59652468253326,Comedy Club,52657a59498edeb9adb96409
26,Côte-des-Neiges–Notre-Dame-de-Grâce,45.48492428563553,-73.6299654448867,The Comedy Nest,45.489805519167035,-73.58525010675015,Comedy Club,4ad4c06ef964a520e3fa20e3
27,Côte-des-Neiges–Notre-Dame-de-Grâce,45.48492428563553,-73.6299654448867,Théâtre Corona,45.482836470571506,-73.57506541661236,Theater,4b678ba7f964a520a8542be3
28,Côte-des-Neiges–Notre-Dame-de-Grâce,45.48492428563553,-73.6299654448867,Parisian Laundry,45.482812994397136,-73.58444282535972,Art Gallery,4b4fb785f964a520511227e3
29,Côte-des-Neiges–Notre-Dame-de-Grâce,45.48492428563553,-73.6299654448867,Cineplex Cinemas,45.489820067346514,-73.58514653812448,Movie Theater,4ad4c06ef964a52008fb20e3
30,Côte-des-Neiges–Notre-Dame-de-Grâce,45.48492428563553,-73.6299654448867,Upstairs Jazz Bar & Grill,45.49548050704861,-73.57636949214954,Jazz Club,4ad4c06bf964a52024f920e3
31,Côte-des-Neiges–Notre-Dame-de-Grâce,45.48492428563553,-73.6299654448867,Pavillon Jean-Noël Desmarais (MBAM),45.498274576190525,-73.57917845249176,Art Museum,4adc8efef964a5203b2d21e3
32,Côte-des-Neiges–Notre-Dame-de-Grâce,45.48492428563553,-73.6299654448867,Théâtre Outremont,45.520077051361916,-73.60854971594,Theater,4bed94a075feef3b6c0a97e6
33,Côte-des-Neiges–Notre-Dame-de-Grâce,45.48492428563553,-73.6299654448867,Pavillon pour la Paix Michal et Renata Hornstein (MBAM),45.49869003201052,-73.57932190635024,Art Museum,582798d6952467476ed5e230
34,Côte-des-Neiges–Notre-Dame-de-Grâce,45.48492428563553,-73.6299654448867,Salle de concert Bourgie (MBAM),45.49912434910475,-73.57963442802429,Concert Hall,4e8244c246908591976c4139
